,postal_code,name,lat,lon
9905,27560,Le Mesnil-Saint-Jean,49.2173,0.5603
9906,27450,Saint-Georges-du-Vièvre,49.2427,0.5764
9907,27710,Saint-Georges-Motel,48.7926,1.3557
9908,27220,Saint-Germain-de-Fresney,48.957,1.2872
9909,27370,Saint-Germain-de-Pasquier,49.2428,1.0034
9910,27930,Saint-Germain-des-Angles,49.0882,1.1379
9911,27230,Saint-Germain-la-Campagne,49.0485,0.4086
9912,27320,Saint-Germain-sur-Avre,48.7742,1.2605
9913,27450,Saint-Grégoire-du-Vièvre,49.2451,0.6241
9914,27270,Saint-Jean-du-Thenney,49.0183,0.4574
9915,27600,Saint-Julien-de-la-Liègue,49.1391,1.2838
9916,27950,La Chapelle-Longueville,49.1085,1.4115
9917,27220,Saint-Laurent-des-Bois,48.8464,1.3196
9918,27390,Saint-Laurent-du-Tencement,48.8912,0.4621
9919,27300,Saint-Léger-de-Rôtes,49.114,0.6596
9920,27520,Saint-Léger-du-Gennetey,49.2833,0.7501
9921,27930,Saint-Luc,48.9728,1.2317
9922,27210,Saint-Maclou,49.3648,0.4115
9923,27950,Saint-Marcel,49.0927,1.4395
9924,27500,Saint-Mards-de-Blacarville,49.377,0.5076
9925,27230,Saint-Mards-de-Fresne,49.0812,0.4535
9926,27160,Le Lesme,48.9091,0.8404
9927,27150,Sainte-Marie-de-Vatimesnil,49.2717,1.5818
9928,27190,Sainte-Marthe,48.9552,0.8819
9929,27300,Saint-Martin-du-Tilleul,49.1071,0.5288
9930,27930,Saint-Martin-la-Campagne,49.0656,1.0756
9931,27450,Saint-Martin-Saint-Firmin,49.2942,0.5604
9932,27370,Saint-Meslin-du-Bosc,49.2145,0.8771
9933,27110,Sainte-Opportune-du-Bosc,49.1675,0.8436
9934,27680,Sainte-Opportune-la-Mare,49.4235,0.5305
9935,27160,Sainte-Marie-d'Attez,48.8028,0.9743
9936,27370,Saint-Ouen-de-Pontcheuil,49.2341,0.95
9937,27310,Saint-Ouen-de-Thouberville,49.3497,0.8971
9938,27670,Saint-Ouen-du-Tilleul,49.3013,0.9485
9939,27800,Saint-Paul-de-Fourques,49.2168,0.7956
9940,27520,Saint-Philbert-sur-Boissey,49.2574,0.785
9941,27290,Saint-Philbert-sur-Risle,49.2798,0.6499
9942,27920,Saint-Pierre-de-Bailleul,49.1279,1.3823
9943,27390,Saint-Pierre-de-Cernières,48.9323,0.5216
